question_id,question,gold_doc_ids,in_scope,raw_ids,final_ids,raw_hit_count,final_hit_count,raw_success_at_k,final_success_at_k,raw_precision_at_k,raw_recall_at_k,raw_mrr_at_k,raw_ndcg_at_k,final_precision_at_k,final_recall_at_k,final_mrr_at_k,final_ndcg_at_k,raw_first_hit_rank,final_first_hit_rank,error
38_79733545_0_2,What factors contribute to the growing demand for nursing care?,"[""79733545""]",True,"[""29907699"", ""11338772"", ""205118541"", ""7948482"", ""79733545""]","[""11338772"", ""205118541"", ""3043654"", ""21679671"", ""71502210""]",1,0,1,0,0.2,1.0,0.2,0.38685280723454163,0.0,0.0,0.0,0.0,5,0,
38_6276512_2_3,How does aging contribute to shifts in the immune system?,"[""6276512""]",True,"[""202640024"", ""21593256"", ""16121387"", ""3520296"", ""3991274""]","[""3520296"", ""210716934"", ""19288393"", ""202640024"", ""16121387""]",0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
22_23496682_6_1,What are some potential nutritional interventions that have been studied for the treatment of fibromyalgia?,"[""23496682""]",True,"[""8263404"", ""23496682"", ""14496700"", ""8985325"", ""25906744""]","[""23496682"", ""8985325"", ""13383343"", ""8263404"", ""13994439""]",1,1,1,1,0.2,1.0,0.5,0.6309297535714575,0.2,1.0,1.0,1.0,2,1,
57_40274863_3_1,"What factors are considered in the administration and scoring of the Mini-Cog test, and how are the results interpreted to identify dementia?","[""40274863""]",True,"[""40274863"", ""150216873"", ""116108"", ""1760148"", ""37596415""]","[""40274863"", ""86563812"", ""12928976"", ""1760148"", ""14089810""]",1,1,1,1,0.2,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1,1,
50_53217809_4_1,How does malnutrition affect gut mucosal integrity and antimicrobial peptides in patients with liver cirrhosis?,"[""53217809""]",True,"[""53217809"", ""15187906"", ""7546913"", ""195665070"", ""53108118""]","[""53108118"", ""195665070"", ""7546913"", ""53217809"", ""11850347""]",1,1,1,1,0.2,1.0,1.0,1.0,0.2,1.0,0.25,0.43067655807339306,1,4,
8_33630656_4_2,"What are the implications of maternal pre-pregnancy BMI on offspring body composition, particularly in relation to fat mass, body fat percent, and fat-free mass?","[""33630656""]",True,"[""14852066"", ""6272826"", ""13666019"", ""16275770"", ""29664369""]","[""13666019"", ""14852066"", ""10836380"", ""15222707"", ""33630656""]",0,1,0,1,0.0,0.0,0.0,0.0,0.2,1.0,0.2,0.38685280723454163,0,5,
75_845829_4_3,"How does the management of excessive daytime sleepiness (EDS) contribute to improving the quality of life for patients with Parkinson's disease, and what are the challenges associated with current pharmacological approaches to EDS?","[""845829""]",True,"[""8802670"", ""54446492"", ""845829"", ""207374199"", ""15974361""]","[""15974361"", ""845829"", ""8802670"", ""21147630"", ""207374199""]",1,1,1,1,0.2,1.0,0.3333333333333333,0.5,0.2,1.0,0.5,0.6309297535714575,3,2,
60_46827041_1_1,What are the potential complications of severe postoperative pain in elderly lower limb fracture patients?,"[""46827041""]",True,"[""46827041"", ""738241"", ""10279814"", ""6237383"", ""207891363""]","[""79087966"", ""46827041"", ""738241"", ""7177941"", ""207891363""]",1,1,1,1,0.2,1.0,1.0,1.0,0.2,1.0,0.5,0.6309297535714575,1,2,
38_2622398_0_2,What are some theories that explain the association between PTSD and sleep problems?,"[""2622398""]",True,"[""2622398"", ""8395027"", ""3722770"", ""2028515"", ""54473202""]","[""18122462"", ""54473202"", ""3722770"", ""2622398"", ""202711184""]",1,1,1,1,0.2,1.0,1.0,1.0,0.2,1.0,0.25,0.43067655807339306,1,4,
38_1296417_2_2,How does the ICAF scale categorize coping strategies for fibromyalgia patients?,"[""1296417""]",True,"[""1296417"", ""1753806"", ""21236218"", ""4978274"", ""13994897""]","[""1296417"", ""21236218"", ""52890129"", ""1753806"", ""13994897""]",1,1,1,1,0.2,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1,1,
36_26154596_0_3,"How can the presence of apathy and cognitive impairment impact the physical activity level of stroke patients, and why is it important to consider these factors in rehabilitation programs?","[""26154596""]",True,"[""4019197"", ""18731296"", ""6585640"", ""10202434"", ""3421645""]","[""10202434"", ""26154596"", ""4019197"", ""140233516"", ""199573064""]",0,1,0,1,0.0,0.0,0.0,0.0,0.2,1.0,0.5,0.6309297535714575,0,2,
36_58695026_0_3,"What are the key objectives of the educational resource created to raise awareness of oral health problems in patients with Parkinson's disease, and how can this resource benefit dental students and professionals in their practice?","[""58695026""]",True,"[""58695026"", ""44096957"", ""71758731"", ""2550383"", ""32690067""]","[""44096957"", ""58695026"", ""2550383"", ""1334287"", ""14902946""]",1,1,1,1,0.2,1.0,1.0,1.0,0.2,1.0,0.5,0.6309297535714575,1,2,
36_18533795_2_1,How does the MITI tool contribute to assessing motivational interviewing treatment integrity and what specific aspects of interviewer behavior does it measure?,"[""18533795""]",True,"[""18533795"", ""8661242"", ""10743994"", ""87227755"", ""728792""]","[""18533795"", ""15538024"", ""87227755"", ""8661242"", ""728792""]",1,1,1,1,0.2,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1,1,
36_11167310_4_1,How do the PTSD diagnostic algorithms for young children demonstrate adaptability and specificity compared to the DSM-IV criteria?,"[""11167310""]",True,"[""11167310"", ""1293463"", ""54690690"", ""56485357"", ""218956""]","[""56485357"", ""11167310"", ""186647640"", ""42659060"", ""1293463""]",1,1,1,1,0.2,1.0,1.0,1.0,0.2,1.0,0.5,0.6309297535714575,1,2,
36_4230700_0_2,What are some of the bioactive components found in human milk and how do they support infant development and health?,"[""4230700""]",True,"[""7566641"", ""135441627"", ""54617958"", ""1256758"", ""54125732""]","[""135441627"", ""169036384"", ""1256758"", ""7566641"", ""54617958""]",0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
36_15640360_1_1,What are the criteria used in STOPP/START version 2 to assess antithrombotic therapy in elderly patients?,"[""15640360""]",True,"[""15640360"", ""16105920"", ""43523763"", ""13674531"", ""160012079""]","[""15640360"", ""13674531"", ""43523763"", ""79660691"", ""79358432""]",1,1,1,1,0.2,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1,1,
70_7187892_4_3,"What are some potential causes of decreased HCT, MCV, and serum iron concentrations in older dogs?","[""7187892""]",True,"[""7187892"", ""806068"", ""4987559"", ""50789576"", ""9310234""]","[""7187892"", ""32353432"", ""806068"", ""24945521"", ""18246389""]",1,1,1,1,0.2,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1,1,
10_17064827_1_1,What is the Lazarus cognitive stress model and how does it relate to perceived stress?,"[""17064827""]",True,"[""16663769"", ""73577079"", ""35268573"", ""196340981"", ""17064827""]","[""11830366"", ""24971277"", ""35268573"", ""16663769"", ""17064827""]",1,1,1,1,0.2,1.0,0.2,0.38685280723454163,0.2,1.0,0.2,0.38685280723454163,5,5,
70_16028130_2_1,What are some coping mechanisms that PLHIV on ART use to deal with stigma and discrimination?,"[""16028130""]",True,"[""15501584"", ""16397146"", ""67857243"", ""67859621"", ""15380551""]","[""67857243"", ""15380551"", ""67859621"", ""9575042"", ""16028130""]",0,1,0,1,0.0,0.0,0.0,0.0,0.2,1.0,0.2,0.38685280723454163,0,5,
0_54538893_7_3,Are there any reported side effects or negative factors associated with mulberry?,"[""54538893""]",True,"[""73463020"", ""54538893"", ""208213406"", ""1659586"", ""10478781""]","[""54538893"", ""208213406"", ""73463020"", ""18526510"", ""14820163""]",1,1,1,1,0.2,1.0,0.5,0.6309297535714575,0.2,1.0,1.0,1.0,2,1,
